sms_text,category,amount
Your HDFC Bank UPI txn of Rs 350.75 to Zomato #Z1234 on 10-09-2023 succeeded. Ref ID: HDF12345.,Food,350.75
Rs 125.00 debited from SBI UPI for Swiggy order #SW5678 on 11-09-2023. Ref: SBI9876.,Food,125.0
Payment of Rs 850 to ABC Restaurant via Paytm UPI on 12-09-2023. Transaction ID: PTM54321.,Food,850.0
Rs 45 debited for Tea Stall purchase at Chowk via HDFC UPI on 13-09-2023. Ref: TS001.,Food,45.0
Your SBI UPI payment of Rs 299.99 to Blinkit #BLK1122 on 14-09-2023 completed. Ref: BLK2023.,Groceries,299.99
Rs 560.50 credited to Zepto via HDFC UPI for groceries on 15-09-2023. Ref: ZPT7890.,Groceries,560.5
"Debit of Rs 1,200 to DMart via SBI UPI on 16-09-2023. Ref No: DMT4567.",Groceries,1200.0
Rs 320 debited from Paytm UPI for Local Kirana purchase on 17-09-2023. Ref: KRN123.,Groceries,320.0
Your Uber ride fare Rs 210.75 paid through HDFC UPI on 18-09-2023. Ref ID: UBR987.,Travel,210.75
Rs 150.00 debited via SBI UPI for Rapido ride on 19-09-2023. Ref: RAP456.,Travel,150.0
"Payment of Rs 2,350 to IRCTC via Paytm UPI for train tickets on 20-09-2023. Ref: IRCTC001.",Travel,2350.0
Rs 650 debited from HDFC UPI for Petrol Bunk fuel on 21-09-2023. Ref: PET1234.,Travel,650.0
"Your SBI UPI transaction of Rs 1,200.00 to Apollo Pharmacy on 22-09-2023 succeeded. Ref: APH567.",Medical,1200.0
"Rs 2,500 debited via Paytm UPI for Hospital Bill payment on 23-09-2023. Ref: HSP890.",Medical,2500.0
Debit of Rs 750.25 to LabTest India via HDFC UPI on 24-09-2023. Ref: LAB345.,Medical,750.25
"Rs 1,100 debited from SBI UPI for Doctor Consultation on 25-09-2023. Ref: DOC678.",Medical,1100.0
"Your Paytm UPI payment of Rs 1,350 for Electricity Bill on 26-09-2023 successful. Ref: ELEC001.",Bills,1350.0
Rs 560.00 debited via HDFC UPI for Water Bill payment on 27-09-2023. Ref: WTR123.,Bills,560.0
Payment of Rs 799 to Mobile Recharge via SBI UPI on 28-09-2023. Ref: MOB456.,Bills,799.0
"Rs 1,200 debited from Paytm UPI for DTH Subscription on 29-09-2023. Ref: DTH789.",Bills,1200.0
"Your HDFC UPI txn of Rs 2,300 for Amazon Shopping on 30-09-2023 succeeded. Ref: AMZ001.",Others,2300.0
"Rs 1,450 debited via SBI UPI for Netflix Subscription on 01-10-2023. Ref: NFX234.",Others,1450.0
Payment of Rs 800 to BookMyShow via Paytm UPI on 02-10-2023. Ref: BMS567.,Others,800.0
"Rs 2,000 debited from HDFC UPI for Charity Donation on 03-10-2023. Ref: CHR890.",Others,2000.0
"Your SBI UPI txn of Rs 1,050 for Flipkart order #FLP123 on 04-10-2023 succeeded. Ref: FLP456.",Others,1050.0
Rs 425.50 debited via Paytm UPI for Zomato order #Z7890 on 05-10-2023. Ref: ZOM321.,Food,425.5
Payment of Rs 99 to Tea Stall at Railway Station via HDFC UPI on 06-10-2023. Ref: TS654.,Food,99.0
"Rs 2,300 debited from SBI UPI for Swiggy order #SW1122 on 07-10-2023. Ref: SWG987.",Food,2300.0
"Your Paytm UPI transaction of Rs 1,750 for Restaurant Dine-in on 08-10-2023 completed. Ref: RST543.",Food,1750.0
Rs 350 debited via HDFC UPI for Blinkit groceries on 09-10-2023. Ref: BLK210.,Groceries,350.0
"Payment of Rs 1,100 to Zepto order #ZP3344 via SBI UPI on 10-10-2023. Ref: ZPT876.",Groceries,1100.0
"Rs 2,500 debited from Paytm UPI for DMart purchase on 11-10-2023. Ref: DMT432.",Groceries,2500.0
Your HDFC UPI txn of Rs 480 for Local Kirana shop on 12-10-2023 succeeded. Ref: KRN987.,Groceries,480.0
Rs 310.75 debited via SBI UPI for Uber ride on 13-10-2023. Ref: UBR654.,Travel,310.75
Payment of Rs 190 to Rapido ride via Paytm UPI on 14-10-2023. Ref: RAP321.,Travel,190.0
"Rs 3,200 debited from HDFC UPI for IRCTC train tickets on 15-10-2023. Ref: IRCTC777.",Travel,3200.0
Your SBI UPI payment of Rs 720 for Petrol Bunk fuel on 16-10-2023 successful. Ref: PET456.,Travel,720.0
"Rs 1,050 debited via Paytm UPI for Apollo Pharmacy purchase on 17-10-2023. Ref: APH123.",Medical,1050.0
"Payment of Rs 2,750 to Hospital XYZ via HDFC UPI on 18-10-2023. Ref: HSP987.",Medical,2750.0
Rs 560.50 debited from SBI UPI for LabTest services on 19-10-2023. Ref: LAB654.,Medical,560.5
